Student_ID,Age,Grade_Level,Prior_CT_Experience,Tool_Used,Abstraction_Score,Algorithmic_Thinking_Score,Decomposition_Score,Pattern_Recognition_Score,Debugging_Score,Creative_Expression_Score,Tool_Session_Count,Time_Spent_Per_Session,Tasks_Completed,Tool_Features_Used,Lines_of_Code,Pre_Test_Score,Post_Test_Score,Improvement_Score,Critical_Thinking_Score,Collaboration_Score,Engagement_Level,Motivation_Score,Error_Rate,Feedback_Received,Skill_Improvement_Category,CT_Mastery_Level,Tool_Effectiveness
S00001,23,Middle,Intermediate,Python,5,3,1,2,1,3,4,35,13,5,216,47,72,25,4,4,5,5,4,3,2,Beginner,High
S00002,28,High,Beginner,Micro:bit,4,5,3,3,1,4,4,28,8,5,186,70,91,21,2,4,4,2,6,2,1,Expert,Medium
S00003,13,High,Beginner,Micro:bit,3,3,2,4,3,3,9,42,15,3,169,55,66,11,2,5,3,5,3,3,1,Proficient,High
S00004,14,High,Intermediate,Python,5,5,5,4,3,5,4,60,14,5,159,70,82,12,2,4,3,4,3,2,1,Proficient,Low
S00005,19,High,Beginner,Python,2,5,2,3,4,4,10,30,19,3,93,70,81,11,3,4,5,3,4,2,2,Expert,Medium
S00006,13,High,Intermediate,Scratch,5,2,2,5,2,4,3,53,10,3,84,46,58,12,5,4,4,2,2,4,1,Beginner,High
S00007,17,Middle,Intermediate,Python,4,4,1,4,3,5,7,33,8,5,424,43,55,12,2,4,3,3,6,1,2,Proficient,Medium
S00008,19,High,Beginner,Scratch,4,3,2,2,5,4,7,34,12,5,189,47,59,12,2,3,4,2,4,1,1,Expert,Medium
S00009,17,High,None,Scratch,3,2,5,3,4,3,7,49,16,2,343,62,74,12,4,5,3,5,4,4,1,Expert,Low
S00010,35,Middle,Beginner,Micro:bit,5,2,2,4,5,4,4,46,18,3,223,52,73,21,4,5,5,3,2,1,2,Beginner,Medium
S00011,14,High,None,Blockly,3,5,3,2,5,3,5,57,16,4,434,45,60,15,3,3,3,3,2,3,2,Developing,High
S00012,32,High,Intermediate,Micro:bit,5,4,5,2,1,4,4,58,5,4,102,69,85,16,2,4,4,4,2,4,1,Beginner,Low
S00013,14,Middle,Intermediate,Scratch,5,2,2,5,5,3,7,56,15,3,255,42,54,12,5,3,3,2,5,1,1,Proficient,Low
S00014,34,High,Beginner,Micro:bit,5,4,5,3,3,4,5,33,13,2,229,70,88,18,4,5,3,5,4,4,1,Developing,Medium
S00015,17,Middle,Intermediate,Scratch,4,2,3,5,5,5,3,34,7,2,272,62,77,15,2,5,4,4,2,1,1,Expert,Low
S00016,12,High,Beginner,Scratch,5,2,3,4,5,4,8,30,9,3,224,67,82,15,3,3,3,2,4,3,1,Expert,Low
S00017,18,High,Beginner,Python,5,5,3,3,1,3,9,47,9,5,474,44,60,16,5,3,3,2,5,2,2,Expert,High
S00018,24,Middle,None,Scratch,4,4,3,2,3,3,7,50,13,5,127,46,67,21,2,5,5,5,5,1,2,Expert,High
S00019,20,Middle,Beginner,Micro:bit,4,2,5,4,2,3,3,40,18,4,412,70,93,23,3,3,4,3,6,3,2,Developing,Medium
S00020,19,High,Beginner,Scratch,5,2,4,2,3,3,3,32,7,2,443,42,61,19,3,4,3,2,3,2,2,Beginner,Medium
S00021,27,Middle,None,Scratch,4,3,3,2,2,5,7,41,15,5,239,46,68,22,4,5,5,2,6,3,1,Expert,Low
S00022,20,Middle,Intermediate,Scratch,2,2,4,4,1,3,4,52,12,5,303,64,89,25,3,3,3,3,4,4,1,Proficient,High
S00023,35,Middle,Beginner,Python,3,4,1,2,2,3,6,33,9,2,422,41,58,17,5,4,4,3,2,3,2,Expert,Low
S00024,21,High,Beginner,Micro:bit,5,2,5,2,2,4,3,57,9,5,269,41,64,23,3,5,5,2,3,2,2,Proficient,Low
S00025,16,Middle,None,Blockly,2,5,2,2,5,5,3,60,10,4,184,43,65,22,4,4,5,5,3,2,1,Expert,High
S00026,27,High,None,Scratch,4,5,4,3,4,3,7,27,10,4,206,70,87,17,3,5,4,4,5,1,1,Developing,Medium
S00027,32,Middle,Intermediate,Blockly,4,3,1,4,4,3,8,33,6,3,202,61,77,16,5,3,5,2,3,4,1,Proficient,Medium
S00028,27,Middle,Intermediate,Scratch,2,2,2,4,4,5,8,34,11,4,268,41,53,12,3,5,4,4,2,1,1,Expert,High
S00029,15,High,Beginner,Scratch,5,2,5,3,2,4,9,39,7,5,192,44,63,19,5,4,3,2,2,3,1,Beginner,Medium
S00030,23,Middle,Beginner,Blockly,4,2,3,3,5,5,10,51,17,5,133,51,74,23,3,4,4,4,3,2,2,Developing,Low
S00031,20,High,Beginner,Scratch,3,4,3,2,1,5,7,59,5,3,467,66,91,25,4,4,5,4,3,4,2,Proficient,Medium
S00032,29,High,None,Python,3,2,5,2,5,4,8,25,5,5,161,66,80,14,5,3,5,3,6,2,2,Developing,Medium
S00033,12,Middle,None,Scratch,5,5,5,3,2,5,10,50,15,5,141,60,79,19,4,4,3,2,4,2,2,Developing,Low
S00034,34,High,None,Blockly,5,5,5,5,3,4,3,40,11,4,311,40,51,11,2,3,5,3,5,1,2,Expert,High
S00035,26,Middle,None,Scratch,2,5,5,4,3,4,6,51,17,5,365,69,85,16,4,4,5,2,6,3,1,Beginner,High
S00036,33,Middle,Beginner,Scratch,3,4,4,4,3,5,10,43,7,2,443,48,71,23,5,4,5,4,5,4,1,Expert,Low
S00037,17,Middle,None,Micro:bit,2,2,2,2,1,5,4,60,18,4,464,69,90,21,2,3,3,4,4,2,1,Developing,Low
S00038,18,High,None,Scratch,5,3,4,3,5,4,8,48,6,5,371,60,85,25,4,4,4,5,5,2,2,Beginner,Medium
S00039,32,Middle,None,Python,5,2,2,4,2,5,4,51,7,2,368,41,66,25,2,3,4,2,2,3,2,Beginner,Low
S00040,34,Middle,Intermediate,Python,3,5,3,5,1,3,6,44,18,5,333,46,69,23,5,5,4,2,6,1,2,Developing,Low
S00041,28,Middle,None,Blockly,5,3,1,4,2,5,7,26,18,5,423,70,94,24,3,3,5,2,4,1,2,Beginner,Medium
S00042,32,Middle,None,Python,3,2,4,5,1,4,6,44,10,2,190,44,57,13,2,4,5,4,4,2,1,Developing,High
S00043,21,High,Intermediate,Python,3,2,3,5,5,3,8,28,16,3,372,44,63,19,2,4,4,4,2,4,1,Developing,High
S00044,32,Middle,Intermediate,Blockly,4,5,5,5,3,5,3,30,13,4,129,57,69,12,3,5,5,3,6,2,1,Proficient,Medium
S00045,15,High,None,Python,5,4,5,5,1,3,9,60,12,3,87,58,69,11,3,4,4,5,3,4,1,Beginner,High
S00046,30,Middle,Intermediate,Micro:bit,2,4,2,4,4,4,3,28,11,3,498,57,77,20,3,3,5,5,4,1,2,Expert,Medium
S00047,27,High,Intermediate,Blockly,4,3,5,3,4,5,7,48,17,4,392,45,57,12,4,5,4,2,5,3,2,Proficient,Low
S00048,33,High,None,Scratch,4,3,4,3,3,4,9,57,7,5,287,41,64,23,4,3,5,3,3,4,2,Beginner,Low
S00049,15,High,None,Scratch,4,2,1,3,3,5,7,27,19,5,268,55,79,24,5,4,5,2,6,4,2,Proficient,High
S00050,34,Middle,None,Scratch,2,2,3,4,3,3,4,36,19,3,397,49,69,20,3,4,3,5,6,4,1,Proficient,Medium
S00051,14,High,None,Python,5,4,2,3,2,3,5,39,18,3,415,58,81,23,5,3,3,2,6,1,1,Proficient,Low
S00052,12,Middle,None,Blockly,2,2,3,3,1,3,9,42,5,3,289,50,69,19,5,3,4,5,4,4,2,Beginner,High
S00053,34,High,Beginner,Micro:bit,3,4,1,3,5,5,8,54,11,4,227,56,66,10,3,3,5,2,5,3,1,Beginner,High
S00054,26,High,Beginner,Micro:bit,2,5,2,2,1,3,4,26,9,3,129,70,80,10,4,4,3,4,5,2,1,Beginner,High
S00055,12,Middle,Intermediate,Blockly,3,4,2,2,4,5,3,29,14,2,352,53,78,25,5,4,5,4,5,2,2,Beginner,High
S00056,15,High,None,Blockly,3,4,5,2,4,4,10,56,14,3,311,64,85,21,3,3,4,4,3,3,2,Developing,Low
S00057,31,Middle,None,Micro:bit,4,5,4,5,1,4,6,38,17,5,253,66,83,17,5,5,3,2,2,1,2,Developing,Medium
S00058,23,High,None,Scratch,4,3,2,4,1,3,5,38,14,2,420,61,82,21,4,4,3,5,3,4,1,Expert,High
S00059,12,High,Beginner,Scratch,4,2,5,4,4,4,9,50,7,4,249,66,83,17,4,3,3,5,6,2,1,Developing,Medium
S00060,13,Middle,Intermediate,Python,4,2,5,2,4,5,5,29,8,5,459,68,81,13,2,4,4,4,5,4,2,Proficient,Low
S00061,23,High,None,Python,3,5,1,2,5,5,4,41,13,4,333,42,56,14,3,5,5,2,3,4,1,Expert,High
S00062,22,Middle,None,Micro:bit,3,5,5,3,4,5,9,51,5,2,164,46,67,21,2,3,4,2,4,4,2,Expert,Medium
S00063,34,Middle,None,Micro:bit,3,2,4,4,1,4,4,35,10,5,309,59,76,17,2,3,4,5,3,2,1,Beginner,Low
